,书名,作者,出版社,出版年,页数,定价,装帧,丛书,ISBN,出品方,原作名,译者,副标题,统一书号
0,红楼梦,[清] 曹雪芹 著/高鹗 续,人民文学出版社,1996-12,1606,59.70元,平装,中国古典文学读本丛书,9787020002207,,,,,
1,活着,余华,作家出版社,2012-8-1,191,20.00元,平装,余华作品（2012版）,9787506365437,,,,,
2,百年孤独,[哥伦比亚]加西亚·马尔克斯,南海出版公司,2011-6,360,39.50元,精装,新经典文库：加西亚·马尔克斯作品,9787544253994,新经典文化,Cien años de soledad,范晔,,
3,1984,[英]乔治·奥威尔,北京十月文艺出版社,2010-4-1,304,28.00,精装,新经典文库：桂冠文丛,9787530210291,新经典文化,Nineteen Eighty-Four,刘绍铭,,
4,飘,[美国]玛格丽特·米切尔,译林出版社,2000-9,1235,40.00元,精装,,9787806570920,,Gone with the Wind,李美华,,
5,三体全集,刘慈欣,重庆出版社,2012-1-1,1285,168.00元,精装,科幻世界·中国科幻基石丛书,9787229042066,科幻世界,,,地球往事三部曲,
6,三国演义（全二册）,罗贯中,人民文学出版社,1998-05,990,39.50元,平装,中国古典文学读本丛书,9787020008728,,,,,
7,房思琪的初恋乐园,林奕含,北京联合出版公司,2018-1,272,45.00元,平装,,9787559614636,磨铁图书,,,,
8,动物农场,[英]乔治·奥威尔,上海译文出版社,2007-3,119,10.00元,平装,译文名著文库,9787532741854,,Animal Farm,荣如德,,
9,白夜行,[日] 东野圭吾,南海出版公司,2013-1-1,538,39.50元,精装,新经典文库·东野圭吾作品,9787544258609,新经典文化,,刘姿君,,
10,福尔摩斯探案全集（上中下）,[英]阿瑟·柯南·道尔,群众出版社,1981-8,531；706；583,53.00元/68.00元,平装/精装,,9787501408580,,,丁钟华 等,,
11,小王子,[法]安东尼·德·圣-埃克苏佩里,人民文学出版社,2003-8,97,22.00元,平装,,9787020042494,,Le Petit Prince,马振聘,,
12,天龙八部,金庸,生活·读书·新知三联书店,1994-5,1978,96.00元,平装,金庸作品集（三联版）,9787108006721,,,,,
13,撒哈拉的故事,三毛,哈尔滨出版社,2003-8,217,15.80元,平装,三毛全集（华文天下2003版）,9787806398791,华文天下,,,,
14,安徒生童话故事集,（丹麦）安徒生,人民文学出版社,1997-08,550,25.00元,精装,世界文学名著文库,9787020017713,,,叶君健,,
15,冰与火之歌（卷一）,[美国]乔治·R·R·马丁,重庆出版社,2005-5,758,68.00元,平装,独角兽书系,9787536671256,,A Game of Thrones,谭光磊/屈畅,权力的游戏,
16,沉默的大多数,王小波,中国青年出版社,1997-10,555,27.00元,平装,王小波作品系列,9787500627098,,,,王小波杂文随笔全编,
17,杀死一只知更鸟,[美国]哈珀·李,译林出版社,2012-9,346,32.00元,精装,译林纪念版,9787544722766,,To Kill a Mocking Bird,高红梅,,
18,明朝那些事儿（1-9）,当年明月,中国海关出版社,2009-4,,358.20元,精装16开,明朝那些事儿（典藏本）,9787801656087,磨铁图书,,,限量版,
19,局外人,[法]阿尔贝·加缪,上海译文出版社,2010-8,128,22.00元,精装,译文经典（精装本）,9787532751471,,L'Etranger,柳鸣九,,
